"player_name","pitcher","game_year","N","unpredictability","indistinguishability","unexpectedness","deception"
"Matt Barnes","598264",2018,844,90.4370398294894,88.9384184469465,21.6719885293741,63.5843429162351
"Adam Wainwright","425794",2019,2062,79.6872005630969,71.1855093717663,36.0850793346942,63.5132120290208
"Shane Bieber","669456",2018,1316,74.3660448532343,96.2871758944808,32.3940042429237,63.4602097194647
"Warwick Saupold","599683",2018,460,61.1614470878552,66.8299702206428,52.112444856766,63.073510027
"Matt Barnes","598264",2019,1026,85.8276415880412,88.2172212791647,24.8076216386019,62.954984611292
"Danny Barnes","592130",2018,600,80.1165433186902,83.7442100597492,30.6705951800238,62.7661193844901
"Clay Holmes","605280",2019,642,63.2296280614211,93.1819897445197,41.5238676664169,62.730100924278
"Sergio Romo","489265",2018,843,73.491399513698,49.8679918561106,46.8080411874934,62.6837146852766
"Corey Knebel","608349",2018,762,86.6735929253926,70.2715039586673,29.4319970429939,62.6741225235219
"Tony Watson","453265",2019,583,86.476377521757,97.002176572384,20.7732908725317,62.4607556454708
"Edwin Diaz","621242",2020,373,76.6630239645136,77.5201868535757,34.9173455922051,62.3553387545253
"Bryan Shaw","543766",2018,759,79.4312759588204,87.618572958524,29.3787512766248,62.327308046241
"Ryan Weber","543901",2020,460,69.9969068982797,86.1881916676451,37.5985645047951,62.3213632291587
"Sean Doolittle","448281",2019,814,84.9822038065664,62.6531004636846,32.7151858548444,62.2942348970915
"Rowan Wick","592858",2019,448,74.7457280272303,84.1609304766357,33.9716516561611,62.0667294672668
"Tyler Webb","643778",2020,259,76.7380619140839,78.7606037520884,33.9256857976072,61.9780293886422
"Brad Keller","641745",2019,2000,77.6157912097138,88.4936857391466,29.7529254586295,61.7325408067928
"Caleb Ferguson","657571",2019,622,85.9381469727741,86.4630976979875,23.456134951637,61.6706614948155
"Chris Stratton","608717",2018,1820,82.4155654310389,89.1663568303926,25.4756727314975,61.6558507121793
"Jack Flaherty","656427",2019,2407,78.5366734959151,75.9322915345121,32.8439676776356,61.624158875992
"Derek Holland","502706",2018,2179,74.1558219250432,78.0869754668311,35.6093592931335,61.5133150034227
"Ryne Harper","607560",2019,627,68.3667607928036,54.528090750205,47.8765525404378,61.5061677594171
"Jacob deGrom","594798",2019,2407,78.982460449106,92.3758132996517,27.0617613760796,61.5009852059126
"Jonathan Holder","656547",2019,510,73.059777451933,79.2561658278768,35.9679155837239,61.3920516716756
"Chaz Roe","475054",2020,118,15.6411640257428,61.1294666933561,88.906769320896,61.2921078229644
"Buddy Boshers","542953",2019,292,81.4068231174654,82.8334357097121,27.6969241758828,61.2125245853779
"Stephen Gonsalves","624427",2018,388,61.5113434895979,85.6567931888572,43.0817795857384,61.1377109578364
"Will Harris","501789",2019,684,73.869725382264,80.5400659189617,34.2608457101558,60.9469032824635
"Jared Hughes","453172",2020,304,46.756083309296,70.1650608134833,59.8937134536456,60.9392777926829
"Austin Voth","608723",2019,510,80.8302851053885,86.5062131586959,26.5886394320027,60.9211636746751
"Alex Claudio","592222",2018,764,77.1472044121966,55.8980227875726,39.3280024979694,60.8861924900773
"Justin Anderson","605121",2019,682,83.5730492121234,64.4033740708202,31.1626037108678,60.772584775309
"Brett Kennedy","664028",2018,375,84.465188757229,50.0109814747551,35.0045899355706,60.7656627337764
"Alex Wood","622072",2020,217,53.2761912560672,65.825956897612,55.5975400911299,60.7222109325575
"Corbin Burnes","669203",2018,420,80.6793061966548,79.1438631828072,28.6642571195995,60.6422714558136
"Devin Williams","642207",2020,331,75.3121791118238,58.9066890672629,39.523863360353,60.6341552244052
"Tyler Olson","621397",2018,296,39.861855171713,50.8875342849284,71.2282327510904,60.5942226975945
"Matt Harvey","518774",2019,695,76.9622776800197,74.1205541944587,33.2358975690453,60.5776955972456
"Cam Bedrosian","592135",2020,182,79.3456967900606,78.2398653372785,29.945750883202,60.5679558311773
"Dillon Maples","596027",2019,183,73.3499357499453,83.6489708523046,32.9088398697103,60.3896587137166
"Kyle Ryan","594986",2019,792,77.9681318715035,83.0396769527715,28.9912919475949,60.1728944183234
"Yu Darvish","506433",2019,2115,63.0553519862768,73.9310592625342,44.1494398849391,60.1514270850781
"Andrew Heaney","571760",2019,1279,71.0612292552935,70.6707286403814,38.5180441902069,60.098552269146
"Nik Turley","543867",2020,282,70.1675708593917,80.3337139455355,36.1542455339087,60.0840879108121
"Luis Perdomo","606131",2018,611,84.5675986658241,77.594636618118,25.0380548244856,59.9952574591068
"James Pazos","572021",2019,110,72.2805774442398,72.1668464003562,36.7702085372672,59.9104452207975
"Chad Sobotka","656977",2019,429,93.148875926364,61.2125725472886,23.0431496180416,59.8920592220707
"Phillip Diehl","670426",2019,103,69.8492570955673,94.1241783376135,31.6386545641615,59.8138151155919
"Joe Smith","501925",2018,507,71.9789621746143,81.3423930995522,33.9173576546919,59.7854062313221
"Brad Hand","543272",2020,276,48.9108694578401,93.2274486536806,48.9776103176628,59.6750101137187
"Kenley Jansen","445276",2019,784,77.5496869498727,57.0305125291192,36.7911712345337,59.5843237836747
"Tony Cingrani","571561",2018,287,69.7728059771534,84.9796780412971,34.2072749225329,59.5253517234193
"Shane Bieber","669456",2019,2390,79.6169548677121,88.6602571837399,24.8972564972107,59.5062459048838
"Vince Velasquez","592826",2019,1602,86.0096839731695,77.6786866101298,23.0928584190549,59.4797096644567
"Marco Estrada","462136",2018,1866,79.9095282825107,65.9116926697869,31.7561452117335,59.4004275896934
"Scott Oberg","623184",2018,679,74.5284397664855,86.9012756679354,29.4297470733675,59.3508173689249
"Evan Phillips","623465",2019,427,79.5828953881423,87.5915794835594,25.0359438262106,59.3439276072262
"Robert Stock","476594",2018,444,74.9940347694627,75.4735728957544,32.6673503903986,59.3361610579609
"Tony Watson","453265",2018,700,79.016509064276,100,21.4526185457457,59.2765551511965
"Cole Irvin","608344",2019,458,84.9265502052246,66.6374087559568,27.2014932872702,59.266196407355
"Adam Ottavino","493603",2019,875,67.8366062594034,49.6320220146858,46.651088884247,59.2314348001473
"Mark Melancon","453343",2019,783,76.7560332799139,78.2308825478056,30.1173538551485,59.1811093005951
"Nick Anderson","623433",2020,179,59.8075867972743,95.5894353855917,38.5336679497562,59.1709634547152
"Jordan Zimmermann","519455",2019,1363,70.2704127617498,91.0238056487434,31.1172298638193,58.9932133542028
"Dillon Peters","596071",2018,368,58.8237769183499,65.9820243324973,48.4904584987974,58.9666731742459
"Trevor Kelley","665001",2019,123,58.6622992764412,64.1048117891867,49.2153200497801,58.9621371029746
"Thomas Eshelman","664045",2020,352,60.6584381180923,91.7850422227623,38.7192029642313,58.9408907482991
"Chi Chi Gonzalez","592346",2020,256,59.0754925539553,88.7017617139663,40.9836962542835,58.9252070447731
"Randy Dobnak","677976",2020,548,59.2150009148191,79.7455302445778,43.6760037422949,58.8919898889128
"Sergio Romo","489265",2019,745,67.5703758384712,50.1180586984551,46.1993362669194,58.8670720384778
"Chad Green","643338",2018,949,89.8271997185795,66.847786208216,22.5050265129019,58.8482585205564
"Dan Jennings","543359",2018,797,73.9137243739495,75.4948544244211,32.775554449061,58.7890987279289
"Ryan Weber","543901",2019,492,67.790337540768,89.7462366377517,33.1774660716557,58.7178551927308
"Caleb Smith","592761",2018,1060,72.7943653276302,43.6882522938166,43.6156484666059,58.6347589314952
"Carlos Carrasco","471911",2019,933,70.1725031041104,79.61375856185,34.300180806566,58.6162586275128
"Richard Rodriguez","593144",2019,869,73.9182301903429,77.1412830449307,31.9815013507972,58.6015943479609
"Nick Anderson","623433",2019,840,82.2451817215648,83.4420352605502,23.1051967808794,58.5957761404715
"T.J. McFarland","519008",2020,238,58.9051185381678,79.826796066076,43.3440661550466,58.4957603148202
"Pete Fairbanks","664126",2020,372,65.68564654617,61.8756608431269,43.3879037323651,58.431502013312
"Jake McGee","459429",2019,468,80.6838128756545,75.9950069620431,26.5320070802972,58.4314296920961
"Jacob Webb","657097",2019,400,73.2178553561841,82.2452800463448,30.670759818191,58.4172744472633
"Kyle Finnegan","640448",2020,315,75.1299032241911,68.705691211389,33.4023724904337,58.4115157049321
"Brady Singer","663903",2020,808,87.2621172348558,79.6380712480785,19.9150688522422,58.4056895554643
"Shawn Armstrong","542888",2019,862,86.2786310436462,82.4229567081323,19.7716427223568,58.3590087302816
"Jake Diekman","518617",2020,271,79.9555877901435,64.6229790179754,30.6191803927216,58.3347508777471
"Kevin McCarthy","641838",2018,713,70.0548294128362,80.4798729140284,33.6464881447624,58.2812425867851
"Chad Bettis","518452",2018,1406,69.2973302565696,76.3277270890186,35.5402379186098,58.2434287511481
"Austin Voth","608723",2018,161,53.7155976008659,87.8277503594582,44.6592592150482,58.2061616997021
"Anthony Swarzak","461872",2019,708,90.7467711076036,79.1097231333264,16.8670927390132,58.161759556915
"Taylor Williams","592865",2018,706,77.3324306736649,83.9945111017343,26.3367739594726,58.1442579700713
"Zach Davies","605200",2019,2000,74.8422010361485,87.1436674409435,27.3667209665316,58.1315673420587
"Tom Eshelman","664045",2019,446,62.3155014449819,93.2072077706312,35.7282875451439,58.113231404125
"Sammy Solis","519301",2018,551,82.8958968967866,67.7088970929245,26.7467031070296,58.0053342778239
"Emilio Pagan","641941",2020,279,90.1011492207443,85.7851845826969,15.0180467614408,57.9828180237831
"Tyler Matzek","554431",2020,361,72.9367447224188,86.4889535509751,28.8496623395987,57.9229832747772
"Mike Minor","501985",2020,740,72.0094681770846,94.2839947199657,27.1003726364837,57.9025263099251
"Sergio Romo","489265",2020,267,64.8536791898388,46.6641357658896,48.0871233852274,57.8427964449644
"Emilio Pagan","641941",2018,774,71.3711087425117,90.6431157805976,28.5900632647672,57.7637937343346
"Oliver Drake","543118",2019,706,72.9006830302816,63.3555922671112,36.0010169848207,57.7459363738011
"Joey Lucchesi","664192",2018,1395,77.6287999156159,12.74778617261,48.1652014651527,57.6972129371288
"Aaron Wilkerson","658792",2019,254,65.5468917605344,77.6361288157866,37.4038104129591,57.6722367986736
"Chris Devenski","606965",2019,831,62.3997221846794,70.8670719246608,42.1512262728747,57.6704038524831
"Drew Pomeranz","519141",2018,1099,81.4668544611795,83.2103951008765,22.4180668210489,57.6060216931812
"Cy Sneed","605482",2019,251,54.8069929413965,60.07455602846,51.7076030383877,57.5727783519741
"Max Fried","608331",2019,1932,64.0373929814899,47.1932774817315,48.121831727514,57.5116394745274
"Kyle Crick","605195",2018,792,65.8173242176513,78.4494433631436,36.5778135841465,57.4294115489177
"Jake McGee","459429",2020,253,100,89.775271185467,4.77234047775845,57.4046704361358
"Jonathan Holder","656547",2018,759,77.8896768257171,77.6834919584731,26.5257264733369,57.1819727407459
"Jeurys Familia","544727",2018,890,69.2241781885935,74.6886035881682,34.5712385123161,57.1481624591944
"Jesse Chavez","445926",2018,1098,66.4550341869311,63.161775814297,40.4565283762511,57.0990585548941
"Brad Boxberger","502202",2018,744,78.2288515120708,75.8424282804375,26.7021360074963,57.0895723737208
"Stephen Strasburg","544931",2019,2544,73.9152041881419,95.8772440166656,23.7754266520189,57.0221794320539
"Zack Britton","502154",2019,689,69.7865594779129,69.4856054396411,35.5567686967552,57.0004059304838
"Freddy Peralta","642547",2018,1059,93.3654525835868,55.0506326935628,20.5723760687111,56.8877687225312
"Jhoulys Chacin","468504",2019,1461,77.0282472507711,63.2292499461955,31.363218053161,56.8440937917702
"Austin Voth","608723",2020,672,81.4657139808513,90.3130233462023,19.0385390509976,56.8176286985133
"Clayton Richard","453385",2018,1692,65.0913617434025,59.405904944799,42.3408377311386,56.791220863415
"David Hess","605276",2018,1295,73.3749362338127,68.8534256917278,32.4943269443481,56.7832247580754
"Kirby Yates","489446",2018,767,55.3026097566509,87.7419482330262,41.2297677838905,56.6889564277895
"Zack Wheeler","554430",2019,2333,87.4063025745724,77.7303871041802,17.9537915083699,56.6759716034707
"Walker Lockett","621141",2019,266,52.8046137512333,92.2632777824901,41.8075376503535,56.6612504920921
"Chad Green","643338",2020,327,75.6668344741987,79.4130884196855,27.055937475136,56.6526820855415
"Shelby Miller","571946",2019,644,79.29050626078,69.7166804125385,27.1183971651895,56.6227434679941
"Ty Buttrey","621142",2020,318,70.007398227366,49.3982468326747,41.1658781815796,56.5693442065447
"Adam Wainwright","425794",2020,668,63.7122679242926,74.3334627703712,38.3986347826917,56.564615758354
"Zach McAllister","502083",2018,577,69.347609511185,88.9297086914911,29.085729328031,56.5515102026915
"Branden Kline","571858",2019,525,79.6395857950919,89.1281672940964,20.514806667203,56.5312053550558
"Giovanny Gallegos","606149",2019,856,89.3141909662271,72.2569372974525,17.8268953548997,56.4645880023667
"Thomas Pannone","623381",2019,931,75.163157648613,73.9836904406823,28.906110936047,56.4443847939305
"Vince Velasquez","592826",2018,1836,79.8086199209552,79.1467100873765,23.3918105839068,56.41489789769
"Jake Odorizzi","543606",2018,2290,81.337465621287,80.4644816140417,21.6212779311003,56.3506299441426
"Parker Markel","571917",2019,350,64.7776161005029,62.7678767725294,40.8343304729354,56.301666965829
"Alex Wilson","543935",2018,695,80.9995311186165,78.3050087179263,22.4940772929629,56.2844084879093
"Griffin Canning","656288",2020,711,67.7090360132039,67.662363664322,36.722685173647,56.2051106337282
"Matt Strahm","621381",2019,1302,67.7467856767388,53.0544538179991,41.3017682314388,56.1731546524448
"Taylor Rogers","573124",2020,255,70.0656882160777,99.3098936862446,24.5277053597981,56.0868038586727
"Daniel Ponce de Leon","594965",2019,653,76.9587427566847,41.5329507262871,37.2407121347847,56.0716916722365
"Ariel Jurado","642558",2019,1502,76.0393694848215,79.6890878986062,25.7185626698029,55.9873898460197
"Paul Sewald","623149",2018,806,78.4176367169154,86.6843972665423,21.5260126055254,55.9846494372677
"Tanner Rainey","663432",2020,225,83.8477468158857,92.5813219435237,15.1103214299518,55.9402842253174
"Sonny Gray","543243",2019,2113,67.7944381540215,80.9302496051306,32.0318758017671,55.9283684949896
"Brad Peacock","502748",2019,1114,73.93890685383,52.1070961891769,36.1460529030326,55.9216268602679
"Sam Gaviglio","543208",2019,1033,63.0401265675552,89.276095288654,33.2131992829174,55.8749462719038
"Tyler Glasnow","607192",2018,1386,49.7614371796046,72.1333481210865,49.4991482526187,55.792488322239
"Fernando Salas","477569",2018,496,77.2067589484115,65.1812201899338,29.0953719635208,55.7861989485078
"Mark Melancon","453343",2020,230,73.2301178727708,76.1116532684177,28.8565911575704,55.7640201608413
"Ryan Burr","621114",2019,270,72.677695614954,81.5947082091177,27.5198910654461,55.7326871616259
"Corey Knebel","608349",2020,200,66.6674140602388,86.2082311235855,30.9889516676855,55.7241258674274
"John Schreiber","670167",2020,211,64.0440429815739,67.0130406865254,39.2647881782619,55.7221589712995
"Hoby Milner","571948",2020,176,67.1764928691253,81.3804078183671,32.0978291234166,55.7168389429236
"Gerrit Cole","543037",2019,2540,79.8805890818694,82.9672736167281,20.9385745059532,55.5845389378413
"Mike Minor","501985",2019,2494,72.7949316868851,89.2235682743312,24.6480514512667,55.4898776146634
"Tyson Ross","475115",2019,431,69.5629866499463,88.4241988942537,27.4201092662024,55.3873196743362
"Chad Bettis","518452",2019,745,67.1512529202324,79.0568555430017,32.3077460761937,55.3276343969925
"Aaron Brooks","605156",2019,1414,69.8644716995333,68.6652923491717,33.3623571429218,55.3121978294761
"Ken Giles","571704",2019,602,58.0506271258241,86.6622909416858,37.2957892751342,55.2672250327194
"Hansel Robles","570663",2018,727,69.7960088310967,85.627468491471,27.9148603961928,55.2429132285097
"Craig Kimbrel","518886",2020,229,91.7143148080812,72.3291491006279,14.0404433358481,55.2038051196737
"Jeurys Familia","544727",2019,769,74.556296718788,75.0248222997641,27.2788446626618,55.1770442446006
"Oliver Drake","543118",2018,562,67.244415578953,58.3077670355791,38.4978039730263,55.0835411044128
"Nick Vincent","543883",2019,553,86.1425950636288,62.9698473741498,21.4002984383077,55.0533924096726
"Jake Diekman","518617",2018,767,77.0851477578711,67.5476772486687,27.4015798004685,55.0522273364049
"Peter Fairbanks","664126",2019,288,80.9056804316188,71.6131473446516,22.910427277487,55.018334288699
"Joe Harvey","642840",2019,276,77.8493836828089,81.6472860292022,22.2275336190076,55.0162426127915
"Ken Giles","571704",2018,554,74.0766969340972,80.3343617656215,25.731041750937,55.0000134971188
"Jacob deGrom","594798",2018,2374,76.4627694941701,88.7361208873984,21.0875660387138,54.9999073069913
"Andrew Miller","453192",2019,721,89.4550532224681,28.0972214038592,29.6857210913577,54.9832631254151
"Matt Magill","543483",2019,657,89.7471041446218,80.4056495664181,12.76546530923,54.9767209396583
"Jake Odorizzi","543606",2019,2124,79.0264112952933,80.3551168135407,21.5873904451647,54.9581695280376
"Brad Keller","641745",2018,1649,66.1560190592725,87.7076053212337,29.7047280233294,54.8575317224276
"Jose Quintana","500779",2019,2014,75.3617206746498,93.010488703142,20.4065844487023,54.8404850574066
"Xavier Cedeno","458584",2018,446,70.8873939901855,54.4061254553337,36.3707371465087,54.8228778440688
"Andrew Heaney","571760",2018,2005,78.5209973797997,65.1872808330788,26.6317950894946,54.8128488208792
"Neil Ramirez","519166",2018,566,79.1866713511457,83.0647070084326,20.2930260807103,54.7472499352076
"Steve Cishek","518553",2020,281,74.2555403817156,84.2969737136941,23.9437818263028,54.733855462583
"Heath Hembree","592390",2019,546,80.9026988382077,84.4137617855456,18.4216812140321,54.7277096229917
"Jesse Chavez","445926",2019,968,75.4846206762886,74.1120545072876,26.1189432005363,54.6928087012885
"Travis Bergen","664157",2019,289,72.745814609474,86.1906311394416,24.4068466471456,54.6087705036498
"James Paxton","572020",2019,2024,79.4213499128743,67.5607849130977,24.7725498729264,54.5579715577125
"Juan Nicasio","504379",2018,582,74.9435405684955,74.3998995781888,26.1832384184309,54.4882941544516
"Jordan Romano","605447",2019,236,80.7332232047749,66.3276817193769,23.9858344071949,54.4881403916123
"Adam Morgan","605388",2018,636,64.6167388525357,58.6772411491598,39.6884884614449,54.4790698975709
"Jose Quintana","500779",2018,2158,74.7332113936145,90.208301031252,21.2207943153709,54.4193461222042
"Tyler Mahle","641816",2018,1554,80.5541888354293,53.2131181704383,28.1676220386857,54.3856184426804
"Alex Claudio","592222",2019,705,68.1755007871199,61.4314734264334,35.7166550175362,54.3645511088614
"Jake Diekman","518617",2019,902,77.4204381246135,60.3966175213366,28.4213210096121,54.3583280085255
"Sonny Gray","543243",2018,1663,52.1307890454379,84.8084936236739,41.3985809318183,54.3037175275637
"Jake McGee","459429",2018,631,78.6814372722234,83.9543265259589,19.756113272543,54.2745771927951
"Robert Stephenson","596112",2019,747,81.1084865390863,59.9692462771868,25.3929865804233,54.2692573113691
"Freddy Peralta","642547",2019,1207,90.8334722646025,47.5708948926816,21.317143294653,54.2584416423635
"Zach Eflin","621107",2019,1870,82.211597745489,67.9126574555763,21.7654605730008,54.1371003328811
"Yohan Ramirez","670990",2020,327,70.3519554648878,55.5708620837919,35.4194881602998,54.1020607730614
"Randy Dobnak","677976",2019,309,52.803207745007,73.4477146358257,44.1089102563064,54.0522001098964
"Caleb Thielbar","573204",2020,287,54.0183043243731,32.9142670447948,56.0231716370734,54.0504593016466
"Silvino Bracho","611093",2018,364,85.021881073536,56.2329237027403,23.0108296071523,54.0229761187836
"Matt Harvey","518774",2020,181,66.3107776197284,77.8666247253905,31.5103723481115,54.0082782001178
"Mike Clevinger","605182",2019,1586,71.0209049431806,61.2425181613862,32.8638571727208,53.9630015563065
"Rowan Wick","592858",2020,231,63.2686920145335,80.5507756976691,33.0768747873703,53.9488033778784
"Tanner Rainey","663432",2019,686,68.7234469472056,86.7004298791817,26.578451773445,53.9172250016083
"Caleb Ferguson","657571",2018,629,84.0069263478155,80.3758230363428,15.9570103013158,53.8847814468641
